Name;Address
1;700 N. Noble St. Chicago, IL
2;4500 S. Champlain Ave. Chicago, IL
3;5800 S. Sacramento Ave. Chicago, IL
4;8700 S. Honore St. Chicago, IL
5;12400 S. Union Ave. Chicago, IL
6;5600 S. Western Ave. Chicago, IL
7;1500 N. Talman Ave. Chicago, IL
8;5500 S. Loomis Blvd. Chicago, IL
9;2200 S. Union Ave. Chicago, IL
10;8400 S. King Dr. Chicago, IL
11;4000 W. Wilcox St. Chicago, IL
12;1300 N. Sedgwick St. Chicago, IL
13;100 S. Springfield Ave. Chicago, IL
14;6300 S. Honore St. Chicago, IL
15;2000 E. 71st St. Chicago, IL
16;400 S. Pulaski Rd. Chicago, IL
17;2400 W. Augusta Blvd. Chicago, IL
18;2600 S. Ridgeway Ave. Chicago, IL
19;1300 S. Harding Ave. Chicago, IL
20;5200 W. Jackson Blvd. Chicago, IL
21;1300 S. Christiana Ave. Chicago, IL
22;9500 S. King Dr. Chicago, IL
23;4700 W. Belmont Ave. Chicago, IL
24;5500 W. North Ave. Chicago, IL
25;5400 S. Laflin St. Chicago, IL
26;1000 N. Avers Ave. Chicago, IL
27;5800 S. Shields Ave. Chicago, IL
28;1100 S. Mozart St. Chicago, IL
29;500 W. Pershing Rd. Chicago, IL
30;500 W. Pershing Rd. Chicago, IL
31;7000 S. Carpenter St. Chicago, IL
32;4200 W. Congress Pkwy Chicago, IL
33;4200 W. Congress Pkwy Chicago, IL
34;10900 S. Mackinaw Ave. Chicago, IL
35;7500 S. Champlain Ave. Chicago, IL
36;4500 S. Oakenwald Ave. Chicago, IL
37;2400 S. Lake Shore Dr. Chicago, IL
38;3900 N. Central Ave. Chicago, IL
39;4100 W. 30th St. Chicago, IL
40;2300 W. 50th Pl. Chicago, IL
41;900 W. 69th St. Chicago, IL
42;1100 N. Pulaski Rd. Chicago, IL
43;2200 S. Western Ave. Chicago, IL
44;9100 S. Ada St. Chicago, IL
45;6600 S. Ashland Ave. Chicago, IL
46;4800 W. Ferdinand St. Chicago, IL
47;100 S. Cicero Ave. Chicago, IL
48;7700 S. Pulaski Rd. Chicago, IL
49;400 E. 95th St. Chicago, IL
50;1300 N. St. Louis Ave. Chicago, IL
51;1900 E. 79th St. Chicago, IL
52;6500 S. Maryland Ave. Chicago, IL
53;1 W. 91st St. Chicago, IL
54;2400 W. 58th St. Chicago, IL
55;2800 S. Spaulding Ave. Chicago, IL
56;600 S. Sacramento Blvd. Chicago, IL
57;7800 S. Muskegon Ave. Chicago, IL
58;7700 S. Carpenter St. Chicago, IL
59;1800 N. Francisco Ave. Chicago, IL
60;1300 W. Hastings St. Chicago, IL
61;7400 S. Eberhart Ave. Chicago, IL
62;100 W. 59th St. Chicago, IL
63;1400 W. 80th St. Chicago, IL
64;8000 S. Manistee Ave. Chicago, IL
65;2200 S. Leavitt St. Chicago, IL
66;7400 S. Dorchester Ave. Chicago, IL
67;12000 S. Normal Ave. Chicago, IL
68;8700 S. Burley Ave. Chicago, IL
69;3300 W. Beach Ave. Chicago, IL
70;4200 W. Irving Park Rd. Chicago, IL
71;1200 W. 97th St. Chicago, IL
72;1100 N. Menard Ave. Chicago, IL
73;3300 W. Irving Park Rd. Chicago, IL
74;1700 W. 44th St. Chicago, IL
75;5000 S. Evans Ave. Chicago, IL
76;11800 S. Harvard Ave. Chicago, IL
77;600 W. 117th St. Chicago, IL
78;2500 W. Division St. Chicago, IL
79;5200 S. Harper Ave. Chicago, IL
80;1300 S. Morgan St. Chicago, IL
81;6800 S. Cornell Ave. Chicago, IL
82;1900 S. Drake Ave. Chicago, IL
83;300 E. Kensington Ave. Chicago, IL
84;5000 W. Belden Ave. Chicago, IL
85;4700 S. Prairie Ave. Chicago, IL
86;10200 S. Green St. Chicago, IL
87;2800 E. 76th St. Chicago, IL
88;6500 S. Green St. Chicago, IL
89;1700 W. 79th St. Chicago, IL
90;400 E. 79th St. Chicago, IL
91;200 W. 93rd St. Chicago, IL
92;7700 S. Damen Ave. Chicago, IL
93;6300 S. May St. Chicago, IL
94;9900 S. Walden Pkwy Chicago, IL
95;8600 S. Ashland Ave. Chicago, IL
96;7800 S. Langley Ave. Chicago, IL
97;200 N. Mayfield Ave. Chicago, IL
98;1200 S. Kolin Ave. Chicago, IL
99;4800 W. Iowa St. Chicago, IL
100;6800 S. Lowe St. Chicago, IL
101;300 S. Cicero Ave. Chicago, IL
102;3100 S. Rhodes Ave. Chicago, IL
103;4900 N. Whipple St. Chicago, IL
104;4300 S. Paulina St. Chicago, IL
105;7100 S. Oakley Ave. Chicago, IL
106;7100 S. Oakley Ave. Chicago, IL
107;400 N. Central Ave. Chicago, IL
108;1100 N. Lawndale Ave. Chicago, IL
109;1400 E. 52nd St. Chicago, IL
110;7300 S. Dante Ave. Chicago, IL
111;1000 N. North Branch St. Chicago, IL
112;12100 S. Indiana Ave. Chicago, IL
113;11600 S. Vincennes Ave. Chicago, IL
114;12200 S. Halsted St. Chicago, IL
115;1 W. 107th St. Chicago, IL
116;1000 W. 75th St. Chicago, IL
117;7000 S. Normal Blvd. Chicago, IL
118;1700 E. 79th St. Chicago, IL
119;1700 W. 85th St. Chicago, IL
120;8400 S. Constance Ave. Chicago, IL
121;5700 W. Bloomingdale Ave. Chicago, IL
122;6800 S. King Dr. Chicago, IL
123;4300 S. Oakley Ave. Chicago, IL
124;5100 S. Washtenaw Ave. Chicago, IL
125;400 W. 115th St. Chicago, IL
126;6300 S. Francisco Ave. Chicago, IL
127;3400 W. Lake St. Chicago, IL
128;7200 S. Lafayette Ave. Chicago, IL
129;5200 W. Quincy St. Chicago, IL
130;5700 S. Sangamon St. Chicago, IL
131;900 N. Long Ave. Chicago, IL
132;2000 W. 70th Pl. Chicago, IL
133;4700 S. Talman Ave. Chicago, IL
134;3300 W. 60th St. Chicago, IL
135;6400 S. Normal Ave. Chicago, IL
136;5500 W. Quincy St. Chicago, IL
137;2500 S. Ridgeway Ave. Chicago, IL
138;900 E. 79th St. Chicago, IL
139;4100 W. North Ave. Chicago, IL
140;7400 S. Parnell Ave. Chicago, IL
141;200 S. Keeler Ave. Chicago, IL
142;3100 S. Pulaski Rd. Chicago, IL
143;1100 N. Campbell Ave. Chicago, IL
144;4400 W. Adams St. Chicago, IL
145;2900 N. Kilpatrick Ave. Chicago, IL
146;2800 N. Spaulding Ave. Chicago, IL
147;300 E. North Water St. Chicago, IL
148;8600 S. Kingston Ave. Chicago, IL
149;1500 E. 76th Pl. Chicago, IL
150;3300 S. Bell Ave. Chicago, IL
151;7300 S. King Dr. Chicago, IL
152;7500 S. Yates Blvd. Chicago, IL
153;7500 S. Union Ave. Chicago, IL
154;7500 S. Merrill Ave. Chicago, IL
155;3600 W. 64th St. Chicago, IL
156;5300 S. Winchester Ave. Chicago, IL
157;5300 S. Winchester Ave. Chicago, IL
158;7500 S. Kingston Ave. Chicago, IL
159;100 W. 116th St. Chicago, IL
160;2400 E. 75th St. Chicago, IL
161;10400 S. Green St. Chicago, IL
162;800 W. 99th St. Chicago, IL
163;1300 N. Lamon Ave. Chicago, IL
164;5000 W. North Ave. Chicago, IL
165;8700 S. Loomis St. Chicago, IL
166;2400 E. 79th St. Chicago, IL
167;6600 S. Champlain Ave. Chicago, IL
168;6200 S. Marshfield Ave. Chicago, IL
169;600 S. Francisco Ave. Chicago, IL
170;7300 S. Wabash Ave. Chicago, IL
171;5600 S. Western Ave. Chicago, IL
172;7400 N. Paulina St. Chicago, IL
173;1000 W. Maxwell St. Chicago, IL
174;2800 W. Flournoy St. Chicago, IL
175;4700 S. Ashland Ave. Chicago, IL
176;600 N. Lawndale Ave. Chicago, IL
177;1600 S. Drake Ave. Chicago, IL
178;3900 W. Congress Parkway Chicago, IL
179;8700 S. Throop St. Chicago, IL
180;6300 S. Kedzie Ave. Chicago, IL
181;6500 S. Damen Ave. Chicago, IL
182;6800 S. Paxton Ave. Chicago, IL
183;3700 W. LeMoyne St. Chicago, IL
184;4000 W. Cullerton St. Chicago, IL
185;1600 W. Howard St. Chicago, IL
186;10500 S. Oglesby Ave. Chicago, IL
187;5700 S. Carpenter St. Chicago, IL
188;1300 S. Avers Ave. Chicago, IL
189;200 E. 15th St. Chicago, IL
190;8100 S. Vincennes Ave. Chicago, IL
191;3800 W. Hirsch St. Chicago, IL
192;8500 S. Saginaw Ave. Chicago, IL
193;7100 S. Ashland Ave. Chicago, IL
194;600 E. 131st St. Chicago, IL
195;800 N. Cambridge Ave. Chicago, IL
196;11600 S. Laflin Ave. Chicago, IL
197;8000 S. Chappel Ave. Chicago, IL
198;5600 W. Washington Blvd. Chicago, IL
199;3200 W. Roosevelt Rd. Chicago, IL
200;7600 S. Greenwood Ave. Chicago, IL
201;7800 S. Oglesby Ave. Chicago, IL
202;1800 W. Garfield Blvd. Chicago, IL
203;2000 W. Garfield Blvd. Chicago, IL
204;11700 S. Normal Ave. Chicago, IL
205;7800 S. Normal Ave. Chicago, IL
206;3600 S. Michigan Ave. Chicago, IL
207;5500 S. Kostner Ave. Chicago, IL
208;8000 S. Normal Ave. Chicago, IL
209;6600 S. Claremont Ave. Chicago, IL
210;100 E. 120th St. Chicago, IL
211;100 E. 120th St. Chicago, IL
212;5800 S. Sangamon St. Chicago, IL
213;1100 N. Waller Ave. Chicago, IL
214;6800 S. St. Lawrence Ave. Chicago, IL
215;2400 E. 79th St. Chicago, IL
216;2900 S. State St. Chicago, IL
217;1000 N. St. Louis Ave. Chicago, IL
218;2800 S. Kildare Ave. Chicago, IL
219;2800 S. Kildare Ave. Chicago, IL
220;7400 S. Colfax Ave. Chicago, IL
221;8500 S. Oglesby Ave. Chicago, IL
222;1 E. 120th Pl. Chicago, IL
223;9100 S. Justine St. Chicago, IL
224;1100 W. 111th Pl. Chicago, IL
225;1800 N. Pulaski Rd. Chicago, IL
226;1 S. Parkside Ave. Chicago, IL
227;1200 S. Lawndale Ave. Chicago, IL
228;800 S. Lawndale Ave. Chicago, IL
229;200 W. 94th St. Chicago, IL
230;100 S. Springfield Ave. Chicago, IL
231;1300 W. 90th St. Chicago, IL
232;1000 W. Wilson Ave. Chicago, IL
233;6200 S. Ashland Ave. Chicago, IL
234;6700 S. Sangamon St. Chicago, IL
235;3600 S. Marshfield Ave. Chicago, IL
236;4000 W. Wilcox St. Chicago, IL
237;9100 S. Commercial Ave. Chicago, IL
238;3300 W. Harrison St. Chicago, IL
239;6200 S. State St. Chicago, IL
240;1600 W. 59th St. Chicago, IL
241;8200 S. Avalon Ave. Chicago, IL
242;7900 S. Avalon Ave. Chicago, IL
243;5100 S. Winchester Ave. Chicago, IL
244;3800 S. Halsted St. Chicago, IL
245;11700 S. Hale Ave. Chicago, IL
246;1100 N. Orleans St. Chicago, IL
247;12200 S. Aberdeen St. Chicago, IL
248;6400 S. Morgan St. Chicago, IL
249;10500 S. La Salle St. Chicago, IL
250;5700 S. Princeton Ave. Chicago, IL
251;6600 S. Rhodes Ave. Chicago, IL
252;7500 S. Union Ave. Chicago, IL
253;5100 S. Calumet Ave. Chicago, IL
254;1400 N. Damen Ave. Chicago, IL
255;5500 S. Mozart St. Chicago, IL
256;8300 S. Baltimore Ave. Chicago, IL
257;300 E. 134th St. Chicago, IL
258;10200 S. Oglesby Ave. Chicago, IL
259;100 W. 104th St. Chicago, IL
260;1500 N. Milwaukee Ave. Chicago, IL
261;8000 S. Woodlawn Ave. Chicago, IL
262;6000 S. King Dr. Chicago, IL
263;7700 S. Sangamon St. Chicago, IL
264;3600 W. Augusta Blvd. Chicago, IL
265;7900 S. Wood St. Chicago, IL
266;6900 S. Vernon Ave. Chicago, IL
267;2200 E. 71st St. Chicago, IL
268;6600 S. Honore St. Chicago, IL
269;6000 S. Halsted St. Chicago, IL
270;1200 W. Washburne Ave. Chicago, IL
271;1200 S. Kedvale Ave. Chicago, IL
272;7200 S. Wentworth Ave. Chicago, IL
273;7000 S. Stony Island Ave. Chicago, IL
274;900 W. 70th St. Chicago, IL
275;600 E. 62nd St. Chicago, IL
276;4500 S. Woodlawn Ave. Chicago, IL
277;400 S. Central Ave. Chicago, IL
278;11000 S. Vernon Ave. Chicago, IL
279;11700 S. Morgan St. Chicago, IL
280;7300 S. Dorchester Ave. Chicago, IL
281;600 N. Springfield Ave. Chicago, IL
282;6700 S. Chappel Ave. Chicago, IL
283;6700 S. Chappel Ave. Chicago, IL
284;6700 S. Chappel Ave. Chicago, IL
285;8900 S. May St. Chicago, IL
286;4400 W. Adams St. Chicago, IL
287;300 S. Cicero Ave. Chicago, IL
288;800 E. 82nd St. Chicago, IL
289;800 E. 82nd St. Chicago, IL
290;10500 S. Lafayette Ave. Chicago, IL
291;10500 S. Lafayette Ave. Chicago, IL
292;1900 W. Ogden Ave. Chicago, IL
293;8300 S. Ellis Ave. Chicago, IL
294;600 W. 89th St. Chicago, IL
295;3700 W. Lawrence Ave. Chicago, IL
296;1200 W. 72nd Pl. Chicago, IL
297;1500 S. Christiana Ave. Chicago, IL
298;5300 W. Adams St. Chicago, IL
299;2600 N. Sawyer Ave. Chicago, IL
300;12100 S. Union Ave. Chicago, IL
301;8600 S. Morgan St. Chicago, IL
302;2300 N. Menard Ave. Chicago, IL
303;4200 W. West End Ave. Chicago, IL
304;6500 S. Hermitage Ave. Chicago, IL
305;3300 W. Van Buren St. Chicago, IL
306;6500 S. Bishop St. Chicago, IL
307;6000 S. Talman Ave. Chicago, IL
308;1400 W. 73rd Pl. Chicago, IL
309;1400 W. 73rd Pl. Chicago, IL
310;8700 S. Loomis St. Chicago, IL
311;5900 S. Winchester Ave. Chicago, IL
312;2200 S. Oakley Ave. Chicago, IL
313;4200 W. Lake St. Chicago, IL
314;800 W. 59th St. Chicago, IL
315;8200 S. Drexel Blvd. Chicago, IL
316;6600 S. Stony Island Ave. Chicago, IL
317;3000 S. Karlov Ave. Chicago, IL
318;1600 W. 44th St. Chicago, IL
319;4800 N. Lincoln Ave. Chicago, IL
320;2400 E. 100th St. Chicago, IL
321;2700 E. 80th St. Chicago, IL
322;2900 W. Jackson Blvd. Chicago, IL
323;7500 N. Greenview Ave. Chicago, IL
324;3100 W. Arthington St. Chicago, IL
325;11100 S. Vernon Ave. Chicago, IL
326;6100 N. Broadway Chicago, IL
327;11300 S. Edbrooke Ave. Chicago, IL
328;11600 S. Bishop St. Chicago, IL
329;5700 W. Bloomingdale Ave. Chicago, IL
330;300 W. 60th Pl. Chicago, IL
331;1700 E. 87th St. Chicago, IL
332;11200 S. Ada St. Chicago, IL
333;7000 S. Paxton Ave. Chicago, IL
334;5400 S. Bishop St. Chicago, IL
335;1900 N. Spaulding Ave. Chicago, IL
336;1 E. 102nd Pl. Chicago, IL
337;300 N. Central Ave. Chicago, IL
338;700 E. 67th St. Chicago, IL
339;4300 W. Cullerton St. Chicago, IL
340;8200 S. Champlain Ave. Chicago, IL
341;2600 S. Trumbull Ave. Chicago, IL
342;5300 S. Talman Ave. Chicago, IL
343;6700 S. East End Ave. Chicago, IL
344;7000 S. East End Ave. Chicago, IL
345;7700 S. Stewart Ave. Chicago, IL
346;5600 W. Chicago Ave. Chicago, IL
347;2800 N. Talman Ave. Chicago, IL
348;4800 W. Deming Pl. Chicago, IL
349;7900 S. Lafayette Ave. Chicago, IL
350;3400 W. 72nd St. Chicago, IL
351;11700 S. Eggleston Ave. Chicago, IL
352;2300 N. Ridgeway Ave. Chicago, IL
353;1200 W. 73rd Pl. Chicago, IL
354;700 S. Kilbourn Ave. Chicago, IL
355;1600 S. Central Park Ave. Chicago, IL
356;5900 W. Midway Park Chicago, IL
357;4500 S. Indiana Ave. Chicago, IL
358;1300 W. Cermak Rd. Chicago, IL
359;3700 S. Wells St. Chicago, IL
360;7100 S. Vincennes Ave. Chicago, IL
